course_credits,course_department,course_exam_from,course_lamguage,course_outcome,course_prerequest_for,course_prof,course_remark,course_score,course_semester,course_skills,course_summary,course_teaching_method,course_title,course_uni_url,course_url,course_weeks
3,Life Sciences Engineering,During the semester,English,"Formulate the specifications of a mechatronic system, A17 Design mechatronic systems (choice of sensors, actuators, embedded systems), A20 Explain and apply the concepts of mass, energy, and momentum balance, E1 Model design, and optimize energy conversion systems and industrial processes, E22 Characterize expermentally the steady-state or dynamic response of solids and fluids, S11 Apply adapt, and synthesize learned engineering skills to create novel solutions, CP14 Expound and iterate multiple design concepts based on the models and simulations, CP15 Describe in scientific terms and apply the principles of tribology and contact mechanics, S13",None,Sakar Selman,None,None,Spring,"Make an oral presentation. Summarize an article or a technical report. Write a scientific or technical report. Access and evaluate appropriate sources of information. Evaluate one's own performance in the team, receive and respond appropriately to feedback.","The objective of this course is to expose students to the fundamentals of robotics at small scale. This includes a focus on physical laws that predominate at the nano and microscale, technologies for fabricating small devices, bioinspired design and control paradigms, and applications of the field.",None,Micro/Nano robotics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2402799722&ww_x_anneeacad=1866895046&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en,14
5,Mechanical Engineering,Written,English,"Model and analytically solve simple problems of statics and stress analysis, S1 Analyze and design assemblies of simple mechanical elements in the framework of static and buckling, S2 Model with analytical or numerical tools the nonlinear response of structures and materials, S12",None,Reis Pedro M.,None,The course concludes with a written exam.,Fall,"Set objectives and design an action plan to reach those objectives. Plan and carry out activities in a way which makes optimal use of available time and other resources. Use a work methodology appropriate to the task. Continue to work through difficulties or initial failure to find optimal solutions. Assess one's own level of skill acquisition, and plan their on-going learning goals.",Analysis of the mechanical response and deformation of slender structural elements,"Lectures, practical demonstrations, example problems, in-class exercises, and homework.",Mechanics of slender structures,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2343802004&ww_x_anneeacad=1866895046&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en,14
5,Mechanical Engineering,During the semester,English,"Choose  suitable methods and tools for (a) the development of, (b) the modelling and simulation of, (c) the analysis of and (d) the choice of solution for an engineering problem in the mechanical engineering domain (product design, manufacturing process and system production), CP1 Analyze design requirements to define and quantify the engineering specifications, CP3 List , define, and quantify the functions of an existing or new design based on the engineering specifications, CP4 Design a system based on engineering specifications utilizing suitable numerical and analytical tools for optimizing the design parameters, CP10 Identify the main- and sub-functions of a mechanical system and corresponding main- and sub-systems in a complete mechanical system / machine to classify the required constitutive elements, CP11 Illustrate  the physical principles of production processes features and limits of production processes, CP12 Implement and apply project management, budget, technical report, resource management skills, CP13 Apply , adapt and synthesize learned engineering skills to create novel solutions, CP14 Develop  and iterate multiple design concepts based on the models and simulations, CP15",None,Paik Jamie,réservé aux étudiants GM.,None,Fall,,"Study and explore design principles of the different mechatronic components and systems. We will cover in-depth especially on meso-scale actuators, sensors and body construction methods.","lecture, tutorials and group work",Mechanical product design and development,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046339051&ww_x_anneeacad=1866895046&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en,14
5,Mechanical Engineering,During the semester,English,"Choose  suitable methods and tools for (a) the development of, (b) the modelling and simulation of, (c) the analysis of and (d) the choice of solution for an engineering problem in the mechanical engineering domain (product design, manufacturing process and system production), CP1 Analyze design requirements to define and quantify the engineering specifications, CP3 List , define, and quantify the functions of an existing or new design based on the engineering specifications, CP4 Design a system based on engineering specifications utilizing suitable numerical and analytical tools for optimizing the design parameters, CP10 Identify the main- and sub-functions of a mechanical system and corresponding main- and sub-systems in a complete mechanical system / machine to classify the required constitutive elements, CP11 Illustrate  the physical principles of production processes features and limits of production processes, CP12 Implement and apply project management, budget, technical report, resource management skills, CP13 Apply , adapt and synthesize learned engineering skills to create novel solutions, CP14 Develop  and iterate multiple design concepts based on the models and simulations, CP15",None,Paik Jamie,réservé aux étudiants GM.,None,Fall,,"Study and explore design principles of the different mechatronic components and systems. We will cover in-depth especially on meso-scale actuators, sensors and body construction methods.","lecture, tutorials and group work",Mechanical product design and development,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046339051&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
3,Energy Science and Technology,During the semester,English,"Choose  suitable methods and tools for (a) the development of, (b) the modelling and simulation of, (c) the analysis of and (d) the choice of solution for an engineering problem in the mechanical engineering domain (product design, manufacturing process and system production), CP1 Choose  production tools and methods based on performance and cost requirements and needs, taking into consideration applicability limits and associated hypotheses, CP8 Carry out a multi - criterion (technological, economic and environmental) analysis of the solutions.",None,"Friot Damien Antoine, Kyritsis Dimitrios",None,The students are graded by their report on the project (80% of the grade) and presentations in the class (20% of the grade).,Spring,"Communicate effectively, being understood, including across different languages and cultures. Make an oral presentation. Evaluate one's own performance in the team, receive and respond appropriately to feedback. Write a scientific or technical report.","Provide the conceptual, scientific, technical and methodological understanding of measuring and evaluating the impact of engineering decisions on economic and environmental performance in the lifecycle of a product-system.","The course is organised in theoretical sessions, presentations of selected topics by the students and a project on the LCA (Life Cycle Assessment) to be realised by the students in groups using appropriate software.",Lifecycle performance of product systems,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046228123&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
3,Energy Science and Technology,During the semester,English,"Choose  suitable methods and tools for (a) the development of, (b) the modelling and simulation of, (c) the analysis of and (d) the choice of solution for an engineering problem in the mechanical engineering domain (product design, manufacturing process and system production), CP1 Choose  production tools and methods based on performance and cost requirements and needs, taking into consideration applicability limits and associated hypotheses, CP8 Carry out a multi - criterion (technological, economic and environmental) analysis of the solutions.",None,"Friot Damien Antoine, Kyritsis Dimitrios",None,The students are graded by their report on the project (80% of the grade) and presentations in the class (20% of the grade).,Spring,"Communicate effectively, being understood, including across different languages and cultures. Make an oral presentation. Evaluate one's own performance in the team, receive and respond appropriately to feedback. Write a scientific or technical report.","Provide the conceptual, scientific, technical and methodological understanding of measuring and evaluating the impact of engineering decisions on economic and environmental performance in the lifecycle of a product-system.","The course is organised in theoretical sessions, presentations of selected topics by the students and a project on the LCA (Life Cycle Assessment) to be realised by the students in groups using appropriate software.",Lifecycle performance of product systems,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046228123&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
2,Energy Science and Technology,Oral,English,Elaborate on neutron diffusion equation Formulate approximations to solving the diffusion equation for simple systems Describe various nuclear reactors concepts Explain nuclear safety principles,None,"Fiorina Carlo, Pautz Andreas",None,Oral (100%)– 25 min without preparation. Closed book.,Spring,,"This course is intended to understand the engineering design of nuclear power plants using the basic principles of reactor physics, fluid flow and heat transfer.
This course includes the following: Reactor designs, Thermal analysis of nuclear fuel,  Nuclear safety and Reactor dynamics",None,Introduction to nuclear engineering,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771709538&ww_x_anneeacad=1866895046&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en,14
2,Energy Science and Technology,Oral,English,Elaborate on neutron diffusion equation Formulate approximations to solving the diffusion equation for simple systems Describe various nuclear reactors concepts Explain nuclear safety principles,None,"Fiorina Carlo, Pautz Andreas",None,Oral (100%)– 25 min without preparation. Closed book.,Spring,,"This course is intended to understand the engineering design of nuclear power plants using the basic principles of reactor physics, fluid flow and heat transfer.
This course includes the following: Reactor designs, Thermal analysis of nuclear fuel,  Nuclear safety and Reactor dynamics",None,Introduction to nuclear engineering,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771709538&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
3,Mechanical Engineering,Written,English,"Choose  suitable methods and tools for (a) the development of, (b) the modelling and simulation of, (c) the analysis of and (d) the choice of solution for an engineering problem in the mechanical engineering domain (product design, manufacturing process and system production), CP1 Choose  production tools and methods based on performance and cost requirements and needs, taking into consideration applicability limits and associated hypotheses, CP8 Formulate the physical principles of production processes features and limits of production processes, CP12",None,"Boillat Eric, Brugger Jürgen, Moser Christophe",None,Written exam after the semester (50%) and student project during the semester (50%),Fall,,"The state of the art in the domain of additive production processes 
(the part is built by material addition without use of a shape tool) will be presented. 
The main application/benefits/shortcomings of the common additive processes as well as 
technological and economical issues will be discussed.",Ex cathedra with examples and student presentation,Introduction to additive manufacturing,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2343801989&ww_x_anneeacad=1866895046&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en,14
3,Mechanical Engineering,Written,English,"Choose  suitable methods and tools for (a) the development of, (b) the modelling and simulation of, (c) the analysis of and (d) the choice of solution for an engineering problem in the mechanical engineering domain (product design, manufacturing process and system production), CP1 Choose  production tools and methods based on performance and cost requirements and needs, taking into consideration applicability limits and associated hypotheses, CP8 Formulate the physical principles of production processes features and limits of production processes, CP12",None,"Boillat Eric, Brugger Jürgen, Moser Christophe",None,Written exam after the semester (50%) and student project during the semester (50%),Fall,,"The state of the art in the domain of additive production processes 
(the part is built by material addition without use of a shape tool) will be presented. 
The main application/benefits/shortcomings of the common additive processes as well as 
technological and economical issues will be discussed.",Ex cathedra with examples and student presentation,Introduction to additive manufacturing,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2343801989&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
3,Computational science and Engineering,Written,English,"Describe  the physical differences between laminar and turbulent flows, AH4 Implement the basics of computer programming; develop a (simple) structures software using a programming language / environment such as C, Fortran or Matlab, AH40 Describe  the physical differences between laminar and turbulent flows, AH4 Integrate the basics of computer programming; develop a (simple) structures software using a programming language / environment such as C, Fortran or Matlab, AH25",None,Gallaire François,None,Written exam.,Fall,Use both general and domain specific IT resources and tools Write a literature review which assesses the state of the art. Use a work methodology appropriate to the task. Summarize an article or a technical report.,This course focuses on the physical mechanisms at the origin of the transition of a flow from laminar to turbulent using the hydrodynamic instability theory.,"Lectures, exercice and homework",Instability,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1887888382&ww_x_anneeacad=1866895046&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en,14
3,Computational science and Engineering,Written,English,"Describe  the physical differences between laminar and turbulent flows, AH4 Implement the basics of computer programming; develop a (simple) structures software using a programming language / environment such as C, Fortran or Matlab, AH40 Describe  the physical differences between laminar and turbulent flows, AH4 Integrate the basics of computer programming; develop a (simple) structures software using a programming language / environment such as C, Fortran or Matlab, AH25",None,Gallaire François,None,Written exam.,Fall,Use both general and domain specific IT resources and tools Write a literature review which assesses the state of the art. Use a work methodology appropriate to the task. Summarize an article or a technical report.,This course focuses on the physical mechanisms at the origin of the transition of a flow from laminar to turbulent using the hydrodynamic instability theory.,"Lectures, exercice and homework",Instability,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1887888382&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
3,Life Sciences Engineering,During the semester,English,"Formulate the specifications of a mechatronic system, A17 Design mechatronic systems (choice of sensors, actuators, embedded systems), A20 Explain and apply the concepts of mass, energy, and momentum balance, E1 Model design, and optimize energy conversion systems and industrial processes, E22 Characterize expermentally the steady-state or dynamic response of solids and fluids, S11 Apply adapt, and synthesize learned engineering skills to create novel solutions, CP14 Expound and iterate multiple design concepts based on the models and simulations, CP15 Describe in scientific terms and apply the principles of tribology and contact mechanics, S13",None,Sakar Selman,None,None,Spring,"Make an oral presentation. Summarize an article or a technical report. Write a scientific or technical report. Access and evaluate appropriate sources of information. Evaluate one's own performance in the team, receive and respond appropriately to feedback.","The objective of this course is to expose students to the fundamentals of robotics at small scale. This includes a focus on physical laws that predominate at the nano and microscale, technologies for fabricating small devices, bioinspired design and control paradigms, and applications of the field.",None,Micro/Nano robotics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2402799722&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
5,Computational science and Engineering,Written,English,"Explain in scientific terms the basic concepts of continuum mechanics (e.g. kinematics, dynamics, conservation equations, Eulerian/Lagrangian approach, stress and strain tensors, constitutive laws, linear elasticity, Newtonian fluid) and apply them to model and analytically resolve simple problems, AH42 Link flow behaviour with non-dimensional parameters (e.g. Reynolds and Mach numbers), AH2 Resolve analytically or numerically the potential flow around an airfoil, AH25 Describe flow in simple geometries, such as over a flat plate, in a tube, or around a sphere or airfoil, AH11 State the conserved quantities in a given flow and link them to a physical-mathematical description, AH16 Define, describe and apply the basic flow equations, such as the Navier-Stokes equations, AH17 Describe simplified governing equations, such as the Bernoulli or potential equations, their domain of validity and apply them in appropriate situations, AH19 Obtain by an order of magnitude analysis, the simplified equations describing lubrication and boundary layers, AH22 Describe in detail the physical phenomena associated with the interaction of a flow with a solid wall (as a function of its characteristics, e.g. roughness), AH5 Describe in detail the physical phenomena associated with the interaction of a flow with a solid wall (as a function of its characteristics, e.g. roughness), AH5 Apply by an order of magnitude analysis, the simplified equations describing lubrication and boundary layers, AH17 Describe simplified governing equations, such as the Bernoulli or potential equations, their domain of validity and apply them in appropriate situations, AH15 Define ,describe and apply the basic flow equations, such as the Navier-Stokes equations, AH14 State the conserved quantities in a given flow and link them to a physical-mathematical description, AH13 Describe flow in simple geometries, such as over a flat plate, in a tube, or around a sphere or airfoil, AH9 Solve analytically or numerically the potential flow around an airfoil, AH19 Explain in scientific terms the basic concepts of continuum mechanics (e.g. kinematics, dynamics, conservation equations, Eulerian/Lagrangian approach, stress and strain tensors, constitutive laws, linear elasticity, Newtonian fluid) and apply them to model and analytically resolve simple problems. Link flow behaviour with non-dimensional parameters (e.g. Reynolds and Mach numbers), AH2",None,Gallaire François,None,written exam,Spring,Summarize an article or a technical report. Continue to work through difficulties or initial failure to find optimal solutions.,"Nondimensionalized Navier-Stokes equations result in a great variety of models (Stokes, Lubrification, Euler, Potential) depending on the Reynolds number. The concept of boundary layer enables us then to identify the different components of the hydrodynamic drag.",Lectures and exercise sessions,Hydrodynamics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=249321531&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
3,Computational science and Engineering,Written,English,"Describe  the physical differences between laminar and turbulent flows, AH4 Implement the basics of computer programming; develop a (simple) structures software using a programming language / environment such as C, Fortran or Matlab, AH40 Describe  the physical differences between laminar and turbulent flows, AH4 Integrate the basics of computer programming; develop a (simple) structures software using a programming language / environment such as C, Fortran or Matlab, AH25",None,Gallaire François,None,Written exam.,Fall,Use both general and domain specific IT resources and tools Write a literature review which assesses the state of the art. Use a work methodology appropriate to the task. Summarize an article or a technical report.,This course focuses on the physical mechanisms at the origin of the transition of a flow from laminar to turbulent using the hydrodynamic instability theory.,"Lectures, exercice and homework",Instability,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1887888382&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
3,Energy Science and Technology,During the semester,English,"Choose  suitable methods and tools for (a) the development of, (b) the modelling and simulation of, (c) the analysis of and (d) the choice of solution for an engineering problem in the mechanical engineering domain (product design, manufacturing process and system production), CP1 Choose  production tools and methods based on performance and cost requirements and needs, taking into consideration applicability limits and associated hypotheses, CP8 Carry out a multi - criterion (technological, economic and environmental) analysis of the solutions.",None,"Friot Damien Antoine, Kyritsis Dimitrios",None,The students are graded by their report on the project (80% of the grade) and presentations in the class (20% of the grade).,Spring,"Communicate effectively, being understood, including across different languages and cultures. Make an oral presentation. Evaluate one's own performance in the team, receive and respond appropriately to feedback. Write a scientific or technical report.","Provide the conceptual, scientific, technical and methodological understanding of measuring and evaluating the impact of engineering decisions on economic and environmental performance in the lifecycle of a product-system.","The course is organised in theoretical sessions, presentations of selected topics by the students and a project on the LCA (Life Cycle Assessment) to be realised by the students in groups using appropriate software.",Lifecycle performance of product systems,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046228123&ww_x_anneeacad=1866895046&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en,14
5,Computational science and Engineering,Written,English,"Explain in scientific terms the basic concepts of continuum mechanics (e.g. kinematics, dynamics, conservation equations, Eulerian/Lagrangian approach, stress and strain tensors, constitutive laws, linear elasticity, Newtonian fluid) and apply them to model and analytically resolve simple problems, AH42 Link flow behaviour with non-dimensional parameters (e.g. Reynolds and Mach numbers), AH2 Resolve analytically or numerically the potential flow around an airfoil, AH25 Describe flow in simple geometries, such as over a flat plate, in a tube, or around a sphere or airfoil, AH11 State the conserved quantities in a given flow and link them to a physical-mathematical description, AH16 Define, describe and apply the basic flow equations, such as the Navier-Stokes equations, AH17 Describe simplified governing equations, such as the Bernoulli or potential equations, their domain of validity and apply them in appropriate situations, AH19 Obtain by an order of magnitude analysis, the simplified equations describing lubrication and boundary layers, AH22 Describe in detail the physical phenomena associated with the interaction of a flow with a solid wall (as a function of its characteristics, e.g. roughness), AH5 Describe in detail the physical phenomena associated with the interaction of a flow with a solid wall (as a function of its characteristics, e.g. roughness), AH5 Apply by an order of magnitude analysis, the simplified equations describing lubrication and boundary layers, AH17 Describe simplified governing equations, such as the Bernoulli or potential equations, their domain of validity and apply them in appropriate situations, AH15 Define ,describe and apply the basic flow equations, such as the Navier-Stokes equations, AH14 State the conserved quantities in a given flow and link them to a physical-mathematical description, AH13 Describe flow in simple geometries, such as over a flat plate, in a tube, or around a sphere or airfoil, AH9 Solve analytically or numerically the potential flow around an airfoil, AH19 Explain in scientific terms the basic concepts of continuum mechanics (e.g. kinematics, dynamics, conservation equations, Eulerian/Lagrangian approach, stress and strain tensors, constitutive laws, linear elasticity, Newtonian fluid) and apply them to model and analytically resolve simple problems. Link flow behaviour with non-dimensional parameters (e.g. Reynolds and Mach numbers), AH2",None,Gallaire François,None,written exam,Spring,Summarize an article or a technical report. Continue to work through difficulties or initial failure to find optimal solutions.,"Nondimensionalized Navier-Stokes equations result in a great variety of models (Stokes, Lubrification, Euler, Potential) depending on the Reynolds number. The concept of boundary layer enables us then to identify the different components of the hydrodynamic drag.",Lectures and exercise sessions,Hydrodynamics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=249321531&ww_x_anneeacad=1866895046&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en,14
5,Computational science and Engineering,Written,English,"Explain in scientific terms the basic concepts of continuum mechanics (e.g. kinematics, dynamics, conservation equations, Eulerian/Lagrangian approach, stress and strain tensors, constitutive laws, linear elasticity, Newtonian fluid) and apply them to model and analytically resolve simple problems, AH42 Link flow behaviour with non-dimensional parameters (e.g. Reynolds and Mach numbers), AH2 Resolve analytically or numerically the potential flow around an airfoil, AH25 Describe flow in simple geometries, such as over a flat plate, in a tube, or around a sphere or airfoil, AH11 State the conserved quantities in a given flow and link them to a physical-mathematical description, AH16 Define, describe and apply the basic flow equations, such as the Navier-Stokes equations, AH17 Describe simplified governing equations, such as the Bernoulli or potential equations, their domain of validity and apply them in appropriate situations, AH19 Obtain by an order of magnitude analysis, the simplified equations describing lubrication and boundary layers, AH22 Describe in detail the physical phenomena associated with the interaction of a flow with a solid wall (as a function of its characteristics, e.g. roughness), AH5 Describe in detail the physical phenomena associated with the interaction of a flow with a solid wall (as a function of its characteristics, e.g. roughness), AH5 Apply by an order of magnitude analysis, the simplified equations describing lubrication and boundary layers, AH17 Describe simplified governing equations, such as the Bernoulli or potential equations, their domain of validity and apply them in appropriate situations, AH15 Define ,describe and apply the basic flow equations, such as the Navier-Stokes equations, AH14 State the conserved quantities in a given flow and link them to a physical-mathematical description, AH13 Describe flow in simple geometries, such as over a flat plate, in a tube, or around a sphere or airfoil, AH9 Solve analytically or numerically the potential flow around an airfoil, AH19 Explain in scientific terms the basic concepts of continuum mechanics (e.g. kinematics, dynamics, conservation equations, Eulerian/Lagrangian approach, stress and strain tensors, constitutive laws, linear elasticity, Newtonian fluid) and apply them to model and analytically resolve simple problems. Link flow behaviour with non-dimensional parameters (e.g. Reynolds and Mach numbers), AH2",None,Gallaire François,None,written exam,Spring,Summarize an article or a technical report. Continue to work through difficulties or initial failure to find optimal solutions.,"Nondimensionalized Navier-Stokes equations result in a great variety of models (Stokes, Lubrification, Euler, Potential) depending on the Reynolds number. The concept of boundary layer enables us then to identify the different components of the hydrodynamic drag.",Lectures and exercise sessions,Hydrodynamics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=249321531&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
5,Computational science and Engineering,Written,English,"Explain in scientific terms the basic concepts of continuum mechanics (e.g. kinematics, dynamics, conservation equations, Eulerian/Lagrangian approach, stress and strain tensors, constitutive laws, linear elasticity, Newtonian fluid) and apply them to model and analytically resolve simple problems, AH42 Link flow behaviour with non-dimensional parameters (e.g. Reynolds and Mach numbers), AH2 Resolve analytically or numerically the potential flow around an airfoil, AH25 Describe flow in simple geometries, such as over a flat plate, in a tube, or around a sphere or airfoil, AH11 State the conserved quantities in a given flow and link them to a physical-mathematical description, AH16 Define, describe and apply the basic flow equations, such as the Navier-Stokes equations, AH17 Describe simplified governing equations, such as the Bernoulli or potential equations, their domain of validity and apply them in appropriate situations, AH19 Obtain by an order of magnitude analysis, the simplified equations describing lubrication and boundary layers, AH22 Describe in detail the physical phenomena associated with the interaction of a flow with a solid wall (as a function of its characteristics, e.g. roughness), AH5 Describe in detail the physical phenomena associated with the interaction of a flow with a solid wall (as a function of its characteristics, e.g. roughness), AH5 Apply by an order of magnitude analysis, the simplified equations describing lubrication and boundary layers, AH17 Describe simplified governing equations, such as the Bernoulli or potential equations, their domain of validity and apply them in appropriate situations, AH15 Define ,describe and apply the basic flow equations, such as the Navier-Stokes equations, AH14 State the conserved quantities in a given flow and link them to a physical-mathematical description, AH13 Describe flow in simple geometries, such as over a flat plate, in a tube, or around a sphere or airfoil, AH9 Solve analytically or numerically the potential flow around an airfoil, AH19 Explain in scientific terms the basic concepts of continuum mechanics (e.g. kinematics, dynamics, conservation equations, Eulerian/Lagrangian approach, stress and strain tensors, constitutive laws, linear elasticity, Newtonian fluid) and apply them to model and analytically resolve simple problems. Link flow behaviour with non-dimensional parameters (e.g. Reynolds and Mach numbers), AH2",None,Gallaire François,None,written exam,Spring,Summarize an article or a technical report. Continue to work through difficulties or initial failure to find optimal solutions.,"Nondimensionalized Navier-Stokes equations result in a great variety of models (Stokes, Lubrification, Euler, Potential) depending on the Reynolds number. The concept of boundary layer enables us then to identify the different components of the hydrodynamic drag.",Lectures and exercise sessions,Hydrodynamics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=249321531&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,Written,English,Formulate the operating point of a hydraulic turbomachine Specify  a type of hydraulic turbine Sketch the layout of a hydraulic turbomachine Select appropriately the dimensions of a hydraulic turbomachine,"Cavitation, Hydroacoustic, Master Project","Avellan François, Vagnoni Elena",None,written exam,Fall,"Use a work methodology appropriate to the task. Communicate effectively with professionals from other disciplines. Assess one's own level of skill acquisition, and plan their on-going learning goals.","Master lecture on Hydraulic Turbomachines: impulse and reaction turbines,pumps and pump-turbines.",ex cathedra lectures with working case studies,Hydraulic turbomachines,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1777127&ww_x_anneeacad=1866895046&ww_i_section=945571&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Science and Technology,Written,English,"Model Systems involving heat transfer in various forms Explain and apply the concepts of heat and mass transfer, E3 Design and calculate heat exchangers, E14 Compute temperature profiles and heat transfer rates",None,Tagliabue Giulia,None,Written exam,Spring,,"This course covers fundamentals of heat transfer and applications to practical problems. Emphasis will be on developing a physical and analytical understanding of conductive, convective, and radiative heat transfer.",The course is organized with lectures and problem working sessions,Heat and mass transfer,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=126999599&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,Written,English,Formulate the operating point of a hydraulic turbomachine Specify  a type of hydraulic turbine Sketch the layout of a hydraulic turbomachine Select appropriately the dimensions of a hydraulic turbomachine,"Cavitation, Hydroacoustic, Master Project","Avellan François, Vagnoni Elena",None,written exam,Fall,"Use a work methodology appropriate to the task. Communicate effectively with professionals from other disciplines. Assess one's own level of skill acquisition, and plan their on-going learning goals.","Master lecture on Hydraulic Turbomachines: impulse and reaction turbines,pumps and pump-turbines.",ex cathedra lectures with working case studies,Hydraulic turbomachines,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1777127&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,Written,English,Formulate the operating point of a hydraulic turbomachine Specify  a type of hydraulic turbine Sketch the layout of a hydraulic turbomachine Select appropriately the dimensions of a hydraulic turbomachine,"Cavitation, Hydroacoustic, Master Project","Avellan François, Vagnoni Elena",None,written exam,Fall,"Use a work methodology appropriate to the task. Communicate effectively with professionals from other disciplines. Assess one's own level of skill acquisition, and plan their on-going learning goals.","Master lecture on Hydraulic Turbomachines: impulse and reaction turbines,pumps and pump-turbines.",ex cathedra lectures with working case studies,Hydraulic turbomachines,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1777127&ww_x_anneeacad=1866895046&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en,14
